utterance_id,audio_path,sentence,ethnicity,gender,age,first_language,dataset,accent,speaker_id
cv_common_voice_en_18413807,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18413807.mp3,Help! It's the beast from the deep.,,female_feminine,twenties,,commonvoice,,104aac60c6ece950da04930bac3cc5d7b107b36ba946a9943dc17a6b7822470ac9bdbb1c8cd5da10d314ad365921dc49de22ff2f61c076122d277030060ccf49
fs_9be7ed39e1e6ebebb8693a457ce1ec96,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/9be7ed39e1e6ebebb8693a457ce1ec96.wav,hey facebook can you please send this picture to my mom,Asian,female,23 - 30,Mandarin,fairspeech,,
cv_common_voice_en_18547942,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18547942.mp3,And the night had fallen.,,male_masculine,twenties,,commonvoice,indian,551d5ea36eb46269c7a7710255ff0cab38e68cd8360ad3d7b3c566e71573c778819d6d1161422130875f138f6caf9bf7e29c972fbf0bf5352ab63029a7dce8f7
cv_common_voice_en_17824374,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_17824374.mp3,"It led to a large exodus of the city, with a majority of the population leaving.",,,,,commonvoice,,025a509f481e756c6e7ba7f0286f41eb563a40cd9402903793ebc080fb50ea01fad553789312e1082e7a5a2d774dfab22dab04d64812ac66436d89b68e95272d
fs_7e00f5d04f51f0a93404678252284b18,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/7e00f5d04f51f0a93404678252284b18.wav,hey facebook i want to make a call on messenger,Black/AA,male,46 - 65,English,fairspeech,,
fs_5bc226eacf5c9a5c3d322dcbe283c833,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/5bc226eacf5c9a5c3d322dcbe283c833.wav,hey facebook add my latest photo on my stories,White,male,46 - 65,English,fairspeech,,
cv_common_voice_en_18306373,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18306373.mp3,"The first planet from the sun is Mercury, and the second is Venus",,,,,commonvoice,,99fbad20f6cedc0d93538333c91c14fe69f8a0c23c924a2f4c160a473622653502c9cd7b178cdbba83125a4898dad6bb3d8fc57c7cbc80acf85c298481903a5d
cv_common_voice_en_18510704,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18510704.mp3,At first he puzzled over something untoward he was sure had happened.,,male_masculine,thirties,,commonvoice,us,5d55dca6c6ee2e7cdefcc270f377fa43098785e29aac9718e1d23bc24c2b7dba7e27679ac8cd897420babca9f8c44ef6d0af2098025df10f1ae4b36f24a89154
fs_1cbf0e5f392dc92a8688b24dd3c88624,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/1cbf0e5f392dc92a8688b24dd3c88624.wav,send text reply oh my god that is so creepy,Pacific Islander,female,31 - 45,English,fairspeech,,
cv_common_voice_en_112554,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_112554.mp3,This child is getting a pedicure.,,female_feminine,thirties,,commonvoice,indian,9a33fde264455fd33cc69ab7060011cfac1b65135e54da0e67870f8c27579991ec71f6c3fb1a48482359a23639dad0b462a0632c3d4d9513e7fe29b1f23887cd
cv_common_voice_en_119376,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_119376.mp3,This book was shipped all the way from my university in New York.,,female_feminine,twenties,,commonvoice,,e74cc354ccc02c5b1ec5f880e6bc504b12fdd598cc64f7b883f8371b6fa57cc262d158eeff73bbfaaa2a6ab81756f61ff66e04f0570b7c89770f48edb67b04e0
cv_common_voice_en_18548200,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18548200.mp3,The egg seems to get further away the more I walk towards it.,,male_masculine,sixties,,commonvoice,us,953bbec74b68f4a24ca1c70200631938c6554133b649747d897b0d4f4dc6c1e16f9aedea861b9d381bdf99094edd7235326704c73247bb46eb4ece3d7f08817a
fs_a6ce5593d21c53c36d972bd5753509c7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a6ce5593d21c53c36d972bd5753509c7.wav,reply to brad i'm sorry i can't do this favor for you my schedule is full,Asian,female,18 - 22,English,fairspeech,,
fs_c687feb9ea7f86c9e96c45169a248456,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/c687feb9ea7f86c9e96c45169a248456.wav,find me some songs by enemen,White,female,46 - 65,English,fairspeech,,
fs_381666d333f53a016a7278b466b40f04,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/381666d333f53a016a7278b466b40f04.wav,hey facebook ignore that call,Native American,female,31 - 45,English,fairspeech,,
cv_common_voice_en_18563528,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18563528.mp3,The branches bent down and twined around him.,,male_masculine,,,commonvoice,,dc89f9911c081f33ffa731071c55374eab362786caa531634870072d91c71396f6cf2028c6b025832f098df73dc7d12b127969d2456523919e35d278fd1b2064
fs_67d2953f73ee9785f6a7fb0bb48d1a30,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/67d2953f73ee9785f6a7fb0bb48d1a30.wav,hey facebook let's create a group chat on messenger that lets us keep up with family and friends now that the world cup is coming up even closer just days away is now so let's open a messenger app then on the top right hand corner we can locate a small pencil like icon click on it to open then we will see a link that says create a new group click there once there we can add our family and friends that we want to add to the group we could also add a group name to it then we can continue to send the group message that we want to see like hey guys let's use this chat to keep up with all the world cup games and news that's going on and also the world cup parties,Hispanic,female,31 - 45,Spanish,fairspeech,,
fs_0e7194092d697e600e6c324deba239ab,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/0e7194092d697e600e6c324deba239ab.wav,hey facebook skip,Black/AA,female,23 - 30,English,fairspeech,,
cv_common_voice_en_103547,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_103547.mp3,A young welldressed black man seated behind a drum set and smiling,,,,,commonvoice,,f93479867080c5af1f00d5114d185de419632f32d056f5780ed2cc402db5efcffea8faf20250fd125560e87cdc838d4395ea5dcca201b3e7b9bcc9f468762ad9
fs_224335fe35f68a48f8b3bf5851a098c7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/224335fe35f68a48f8b3bf5851a098c7.wav,hey facebook share this photo,White,female,18 - 22,English,fairspeech,,
cv_common_voice_en_150916,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_150916.mp3,A man wearing a white button down shirt looking out of a window of a train.,,male_masculine,thirties,,commonvoice,,cbb954ba21a5cdb7c7c0aea4ef049fc99171f57437f55995a9ec50b9756fc181db10265d548f8e9cd3da5ee4fed2e0bf1150c304f7566ac7a0bcd18fc3a91ad6
cv_common_voice_en_18558364,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18558364.mp3,We need to correlate the data and understand what is happening.,,female_feminine,fourties,,commonvoice,,018f31016ef5047d04ae2a79512942bf74e3531eebaf0dee8abef9cfba7d25d6696ce0b918b4a76015f0bc66e1a852b09d473a2bcba3ae083ab33e93efaf602d
fs_ad716a263437654a43a7ca0cef196e1e,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/ad716a263437654a43a7ca0cef196e1e.wav,hey fix the door today,White,male,18 - 22,English,fairspeech,,
cv_common_voice_en_18449179,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18449179.mp3,It happened one dark and stormy night.,,male_masculine,twenties,,commonvoice,england,c28598312f739ca87eb0dc2b9d6d640e74dbd4671991ae4a972afc5cffc55a8afda11034ab0fe3421e332cfb3ba934590f8038f23dded89acde30fa67d74d97b
cv_common_voice_en_18590820,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18590820.mp3,We shall return home this day week.,,male_masculine,twenties,,commonvoice,,db4e15fef263b9d2150266ed51ca65461c5686a53d8dbc484c27081651fae45e04bd1316daa3cb46e671cfaf81bea3225c09bb4ba135db4aa7bb5b998b60f1ac
cv_common_voice_en_18191254,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18191254.mp3,A cone costs five cents on Mondays.,,,,,commonvoice,,cefa46b35a9cf0b97ef72751f22b936215e4a81ed4793a0d07acec110f25f794205cb48dca1915e5b2e8b7f04436a4c75e80ffca2263bf73a8c191f73c521ac2
cv_common_voice_en_18334894,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18334894.mp3,"The metric system is based on units, tens and hundreds",,male_masculine,thirties,,commonvoice,indian,0fa230e59f322714bb16f77102a60434cbae389a16af84f133f506048bb4f83b1c03bc9d39b10633128f3c2010b0e7b90a59d84294264bbf8d9387f803dbc3fa
fs_a67a127856552c9cd3cde5752956ff8a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a67a127856552c9cd3cde5752956ff8a.wav,reply to mike say merry christmas to you too mike i hope you're doing well,Asian,female,31 - 45,Japanese,fairspeech,,
cv_common_voice_en_18447192,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18447192.mp3,I'm really not able to choose between them.,,female_feminine,twenties,,commonvoice,malaysia,d8f79af55e5db3e7a6b73d73d200e16a0839edd42719869f452d4c0e757f72806806a7cbe3d0b53cc31cdd1e58f4f5d3caff0abbe69dbcedfff23180fb99b58e
fs_13805504a0f8a427d0c5a820d0f8b8b4,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/13805504a0f8a427d0c5a820d0f8b8b4.wav,can i get nelly song on pandora station,Black/AA,male,31 - 45,English,fairspeech,,
fs_fd378735dca654edd1ccbc3f71d835c7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/fd378735dca654edd1ccbc3f71d835c7.wav,message joanna what time she should show up before to the surprise party,Asian,female,31 - 45,English,fairspeech,,
cv_common_voice_en_18569893,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18569893.mp3,Some towns are decaying because residents have moved to the city.,,male_masculine,thirties,,commonvoice,us,0c6fa8b26d52a716b28913105e3237105cb30cdb936d16578549c6940c3a87719c2f34ac1604889d9f849f3b6bac27e8ef6820f0fab4fa969e775afbc28834a7
cv_common_voice_en_18617058,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18617058.mp3,"Now, suppose I had killed him.",,male_masculine,twenties,,commonvoice,,5a023d6e6e0ef0acac2f02994a7222007a30b5ae98fd8a7a6413e6ad5f9fdb0ab0519d93b99f7f32d9b6709ea13d1573d3df6f9d24f377a9776059bb8f095eba
cv_common_voice_en_18532678,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18532678.mp3,An eerie stillness seemed to envelop the room like a linseed poultice.,,male_masculine,twenties,,commonvoice,england,127957d06b39e1f2e63c3acd0aadafebbe8e7ba77b26422faf193ba9b27b461ef326c6cf016edfaffbac4b4be4871bcd315be5fc145fcbaef773576190357946
fs_b5b2a99d9b431dd81dcbe341d912536c,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/b5b2a99d9b431dd81dcbe341d912536c.wav,i'm standing under the tree where are you,Black/AA,male,46 - 65,English,fairspeech,,
fs_ad3f468e83378bb38712240355bd99d8,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/ad3f468e83378bb38712240355bd99d8.wav,hey facebook please send this video to maya,Asian,female,31 - 45,English,fairspeech,,
fs_5d765818fc06818405abb734ee23fc3a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/5d765818fc06818405abb734ee23fc3a.wav,play top eighties,Asian,female,23 - 30,Mandarin,fairspeech,,
fs_b2055469cf42713185570c974dfefef9,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/b2055469cf42713185570c974dfefef9.wav,hey facebook end call,Native American,female,31 - 45,English,fairspeech,,
fs_0882a93f5c6b15c314bc05e89fcde0c7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/0882a93f5c6b15c314bc05e89fcde0c7.wav,don't forget to buy fried rice ingredients when you are coming back,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18632198,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18632198.mp3,"Rosa, with fresh tears, kneels at her feet and kisses her hand.",,male_masculine,twenties,,commonvoice,,86d583c61907752d30419a64b4c1d592b8325139c8a5b3cca154fc6b0e90e2f75143b881242e850b91fd6333d91dbefa776ff0c3153d8742a502af7f5f7733e2
cv_common_voice_en_18594593,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18594593.mp3,"She looks honest, he said, with a sigh of relief.",,,,,commonvoice,,edcb9da2cf7602a83505aaf7584d105ba84948cac6208a06f5d14c03afdd6fcf200cdb3640ecb2f47d5c1a4d6799342a56e0e6def59bdaecb6cc0b14d09c30d0
fs_56c8b53c8e395bd9cbad1fdeebcc3c0b,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/56c8b53c8e395bd9cbad1fdeebcc3c0b.wav,hey facebook end this call,Black/AA,male,31 - 45,English,fairspeech,,
fs_a8d1fbedd4011cf0efd9dea254bfd4f0,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a8d1fbedd4011cf0efd9dea254bfd4f0.wav,hey facebook what's the phone volume,Hispanic,female,23 - 30,English,fairspeech,,
cv_common_voice_en_184347,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_184347.mp3,"While I'm laying down disclaimers, I should also mention that the code is a work in progress.",,,,,commonvoice,,4b86a93e3f5e0a848564444b6e1e68b7c9316bef25b56573a40345d2f1df1ea4b0ba62841dafbffde9cf5e00db33df1e89feba45a3554aceed31bb0832de433f
fs_162ad80ca1f7854e3fa5fee3ceb347b3,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/162ad80ca1f7854e3fa5fee3ceb347b3.wav,hey facebook mute announcements,Asian,male,18 - 22,English,fairspeech,,
fs_e9b041ab04c863d221795b83af4162ed,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/e9b041ab04c863d221795b83af4162ed.wav,hey facebook take a photo after a four second delay,White,male,46 - 65,English,fairspeech,,
cv_common_voice_en_18651923,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18651923.mp3,For a moment the shock of horror stunned her.,,male_masculine,twenties,,commonvoice,,610e97a566d97e1a46408312c44e446090fa2c9137fbc8526e32ab5c0ae6db9473e45da2b2bacf3f97919302b5230decacd0370b57fae844ad7029bdf84ab790
fs_7936c1fd263481d9c9ea70d42c3edc73,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/7936c1fd263481d9c9ea70d42c3edc73.wav,hey facebook text menu to my brother,Native American,female,31 - 45,English,fairspeech,,
fs_314bac693fa75f51ca70558930f57c1e,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/314bac693fa75f51ca70558930f57c1e.wav,send a text message to the conversation where baby name suggestions is the topic i really hate the name caleb,Asian,female,18 - 22,English,fairspeech,,
fs_cffac51a0d636a99554180a44f2b4c73,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/cffac51a0d636a99554180a44f2b4c73.wav,i know we like to text but sometime i really need you to call me something happened at work today and i think that my life will never be the same and you'll never guess what it is,Black/AA,female,46 - 65,English,fairspeech,,
fs_b415d7d2a515c108a08f4eaa847be991,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/b415d7d2a515c108a08f4eaa847be991.wav,we are making the party for you today,Black/AA,male,31 - 45,English,fairspeech,,
fs_a09df346f389c4b13c9841a1b3095b09,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/a09df346f389c4b13c9841a1b3095b09.wav,hey facebook what are people saying in the group chat,Asian,female,31 - 45,Japanese,fairspeech,,
cv_common_voice_en_18530150,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18530150.mp3,We would like to make it up to you.,,male_masculine,twenties,,commonvoice,,cffeda21821af92a4b1ce28e19b5c295d4a250ec6bf6ee23c5cf46b2503f6925e92c2d9477ba943b6cd989ead464b41e44bb4527773a0e95d37fbaec63a646ae
cv_common_voice_en_18478828,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18478828.mp3,The headteacher was a devotee of traditional teaching,,male_masculine,twenties,,commonvoice,us,51d5e12fa85111b4b12b99e8bc5d42362a00ef90cd0b9fa0888937edadfcaca39393ded2c393d8446d42dfdf0e3fdee94f9f25a08e0c019710c64d013218852c
fs_1b90fc87cd835826fcc3ac65ba6d890b,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/1b90fc87cd835826fcc3ac65ba6d890b.wav,hey facebook change my status to available,Asian,female,23 - 30,Mandarin,fairspeech,,
cv_common_voice_en_125085,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_125085.mp3,search for a painting of The Wannadies,,,,,commonvoice,,76d769e8c9a3bb98f4fc0cdb585f3cc383782183ab15417ead470b343a2a2576d2e755439fb2a0710958f4e8cfd248d0b543dc948585db61e346ccaac1517d81
cv_common_voice_en_171154,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_171154.mp3,Two cyclists in yellow are competing in a race,,male_masculine,seventies,,commonvoice,us,1c0d3a37d6012ae4b912c5d424621d41aa485f73d790a624e1fb4eedbd47b592efeabbdc853c8c86d3c39f7e5094495c757da9deb588bf86b832cc23c9aeb0b9
fs_0df06f01f66ea91697f1c6554445eb67,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/0df06f01f66ea91697f1c6554445eb67.wav,i need directions to your precise location i'm already on my way to pick you up right now,Black/AA,male,31 - 45,English,fairspeech,,
fs_830d5904059a621fc3a6073ddd858b32,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/830d5904059a621fc3a6073ddd858b32.wav,yes i enjoyed myself at the restaurant last time i visit,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18441977,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18441977.mp3,Who were walking along Broadway.,,male_masculine,twenties,,commonvoice,hongkong,b914470439d3f7156a500e2b9bd8133dd73a03b874bb2acb1da8afa6115faf36c687ba98c40d3c6d95c10e263d8630030dc476622eadef944120689adbf47f4e
fs_75be8b017eb12d7debd3eb23a8a2f1cd,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/75be8b017eb12d7debd3eb23a8a2f1cd.wav,hey facebook take a picture in five seconds,White,male,46 - 65,English,fairspeech,,
fs_1d4875d857379748322add3f2f8bea5c,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/1d4875d857379748322add3f2f8bea5c.wav,add this to my playlist,Asian,male,46 - 65,English,fairspeech,,
cv_common_voice_en_18599107,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18599107.mp3,"He was contented, you will say.",,,,,commonvoice,,1bc53d354a4aad04f802168eba297dbf3744fc62deb871f864504f22aadd96027f8aabcc0d44714a23dea9aa673e1a477dc2dc83b96b4ab69d6cf86c08b7d167
fs_15f90357506e8936c8ff0c482a86296b,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/15f90357506e8936c8ff0c482a86296b.wav,hey facebook read the next text from funny group on sms,Native American,female,46 - 65,English,fairspeech,,
fs_321ec505c61e1c87a7695c25a401e534,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/321ec505c61e1c87a7695c25a401e534.wav,hey since long time i didn't go for pandora station could you please search it for me now,Asian,female,31 - 45,Urdu,fairspeech,,
fs_e5c62c06b3b553df9b4879850389c026,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/e5c62c06b3b553df9b4879850389c026.wav,why don't you get him something he can use for work,Asian,female,31 - 45,Malay,fairspeech,,
cv_common_voice_en_18471418,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18471418.mp3,"So no more discussion, Jeeves.",,,,,commonvoice,,ba3d3be2ba3117f60751c1a356f2f4331309bb315941e452fb1477e83f4fbdb4ea040f526d768e4a5bed1bbcb30d4e178f6261a08368fd8e7423342a96cf049b
fs_e0de515b20fbbbdb2d9aae59a6f7e3d4,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/e0de515b20fbbbdb2d9aae59a6f7e3d4.wav,hey facebook start a call by the first name,Black/AA,male,31 - 45,English,fairspeech,,
fs_66ea3323493d35b687b5729d3d08d4c8,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/66ea3323493d35b687b5729d3d08d4c8.wav,hey facebook delete the last message i sent,Asian,female,31 - 45,Korean,fairspeech,,
fs_af96f24cf884d287b534f34585c159f0,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/af96f24cf884d287b534f34585c159f0.wav,hey facebook accept that call please hey facebook answer that,Middle Eastern,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18564206,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18564206.mp3,"I caused him embarrassment enough as it was, I am sure.",,male_masculine,twenties,,commonvoice,,b4247e0243ee24889c5445077ce80c46d69ae9beb00ec33818ebd9b62fc3fc54493195cc912876ce973fc4a00d7de22b36fe5144e7b4bc329a3bb980534f543e
fs_8343445d25248ae32aab321292a37bfa,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/8343445d25248ae32aab321292a37bfa.wav,hey facebook unmute notifications,Black/AA,female,46 - 65,English,fairspeech,,
fs_e290e54288bcf326f355cc6da6cf046a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/e290e54288bcf326f355cc6da6cf046a.wav,hey facebook reject this call on messenger app,Black/AA,male,31 - 45,English,fairspeech,,
fs_32b7684162996c4de53526a2a3a588ff,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/32b7684162996c4de53526a2a3a588ff.wav,hey facebook there's a lot of ways to share a photo by uploading a photo to your profile or uploading a photo to your album on your facebook and people could see it people could comment it people could like it people could share it there's a lot of things on facebook that you can upload pictures to and you can have your family members friends family anything that's your friends related to you comment it like it love it and share photos,Native American,female,31 - 45,Spanish,fairspeech,,
fs_0b3202e34ed081ed011badf5d703d121,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/0b3202e34ed081ed011badf5d703d121.wav,hey facebook i need to know the different ways to get online availability,Native American,female,46 - 65,English,fairspeech,,
fs_6cf9980b1710ef17647c968b73d133b4,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/6cf9980b1710ef17647c968b73d133b4.wav,send a message to dad saying hey do you know where the cupboard is,Hispanic,male,18 - 22,English,fairspeech,,
cv_common_voice_en_18534834,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18534834.mp3,I could not bring myself to share his sunny confidence.,,female_feminine,twenties,,commonvoice,,31fbf86784c6d2b477d6c00c3b6ab876bb7919a0f3a8b54284aa726a75453701832c705bc33ffdbdffc1fe9f2b4a4a9f07ae5b5ed971f710cba9638ae3e01ebe
cv_common_voice_en_156426,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_156426.mp3,Three are standing on a mountain.,,male_masculine,fourties,,commonvoice,us,73a931d5f7bb11eb8d69ab9b02d0c02c71018a5357e4a85d51a36449c0265bbceae2e053716d392f05471d14c2da17fdcccca6dce34d46a67271fc4a4b5551b5
cv_common_voice_en_18608868,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18608868.mp3,Then you’ll know why.,,male_masculine,thirties,,commonvoice,england,37e9dfc52e1eec1c1e359681ff43d4f8116e7428d0e0e10eb6417fc50d77bbfe3d626a4414c0d997166513b7da61b15182af93e8a08468fd087e646d1f114b95
fs_d816bad34b6d535f58fb40edf91b6de7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/d816bad34b6d535f58fb40edf91b6de7.wav,i would like to listen to stevie stone on strange music,Native American,female,46 - 65,English,fairspeech,,
cv_common_voice_en_18592281,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18592281.mp3,The strange man said nothing but made another snort.,,male_masculine,teens,,commonvoice,,bcc5b03a0e96df98651b062b63e772b82d528a56b04a913c7b0f6f643ba6362a1f4cd2f11a2940ef4432717093520979939b026e34f5ee908151c6eaa9e094d5
fs_72c36bb80d4dc72c381a592ef7baa53a,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/72c36bb80d4dc72c381a592ef7baa53a.wav,using just within the messaging app you can send text messages this way as well as showing your excitement for the surprise party this way when you create a group chat to let your friends know about your surprise party they will sure know and they will be really excited as well sending jist as text messages is a fun way and creative way to do it,Hispanic,female,31 - 45,Spanish,fairspeech,,
cv_common_voice_en_18650234,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18650234.mp3,When is the right time to buy a driver-less car?,,male_masculine,twenties,,commonvoice,us,3534e53f515b095a11d610cbc471ac4916d43135e92efe6e37dd3ce40becef793d1c1f51b264e090f8b5eb873a23eae420a38a244dcbf0d3d1cd8372d2b3e039
fs_3eb67786426d33b791118e62837391b7,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/3eb67786426d33b791118e62837391b7.wav,please where are you i'm already at the location i can't see any of you here,Black/AA,male,31 - 45,English,fairspeech,,
fs_afbc5eee2c33f8495900a82b799fabea,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/afbc5eee2c33f8495900a82b799fabea.wav,last station,Native American,female,31 - 45,English,fairspeech,,
fs_9aa7c0912174583f583f2f35417ea6aa,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/9aa7c0912174583f583f2f35417ea6aa.wav,hey facebook unmute conversation,Native American,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18466379,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18466379.mp3,"She finished early that day, and decided to go to the spa.",,,,,commonvoice,,f857989c789af80ee268f019e73c0a9afe055a4cc31fe0849b6168ceee4e23f1a2fdcd4bbc6bd970c528b43ac136f91b3a7524aa67b70f901b2e50abfa11c38f
cv_common_voice_en_18438266,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18438266.mp3,A laudable sentiment.,,female_feminine,thirties,,commonvoice,,3ac09bfd65954a4f9e1666201ac75030827ed37ad203bd54b8bfc8ff148c3893ce7efbaf51a89877071add150a26eaabb3777d4aa294e3ba88b6f1344c025b9b
cv_common_voice_en_18486189,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18486189.mp3,"Although she taught English, she had no idea how to spell desiccated.",,,twenties,,commonvoice,,b9e4f4e5255d1446d3adedde78abe413dd9fe964f898dede79ca435b5567f73479a681a63102923004668d06af845e24dbd14a2f6ac57e0503c9c15ccf15a5ed
fs_b198f3b975d4ec6fcc456138b8fde24d,/home/zeus/project/datasets/meta_speech_fairness/asr_fairness_audio/b198f3b975d4ec6fcc456138b8fde24d.wav,hey facebook please capture a video,Black/AA,male,31 - 45,English,fairspeech,,
cv_common_voice_en_18530344,/home/zeus/project/datasets/cv-corpus-25.0-2026-03-09/en/clips/common_voice_en_18530344.mp3,"Oh yes, I felt that I must pit myself against him.",,male_masculine,thirties,,commonvoice,newzealand,3b237bba01393e6235dbdc640585a34c82729b47196cdcc55a1978daba6e30e514e9c678d1e66eab32cd04c63e05e84821d187415be1104602324d5060852929
